央視頻道,#genre#
梅州客家生活,http://183.30.201.227:10002/rtp/239.253.43.124:5146
中山综合,http://183.30.201.227:10002/rtp/239.253.43.62:5146
中山综合,http://183.30.201.227:10002/rtp/239.77.0.185:5146
云浮综合,http://183.30.201.227:10002/rtp/239.77.0.253:5146
云浮文旅,http://183.30.201.227:10002/rtp/239.77.0.254:5146
清远综合,http://183.30.201.227:10002/rtp/239.253.43.33:5146
肇庆生活服务,http://183.30.201.227:10002/rtp/239.253.43.2:5146
肇庆综合,http://183.30.201.227:10002/rtp/239.253.43.1:5146
珠海,http://183.30.201.227:10002/rtp/239.77.0.155:5146
茂名综合,http://183.30.201.227:10002/rtp/239.77.0.206:5146
茂名文化生活,http://183.30.201.227:10002/rtp/239.77.0.207:5146
韶关综合,http://183.30.201.227:10002/rtp/239.77.0.117:5146
湛江新闻综合,http://183.30.201.227:10002/rtp/239.77.0.141:5146
阳江综合,http://183.30.201.227:10002/rtp/239.253.43.82:5146
金鹰卡通,http://183.30.201.227:10002/rtp/239.77.0.164:5146
嘉佳卡通,http://183.30.201.227:10002/rtp/239.77.0.179:5146

影視頻道,#genre#
天映频道,https://o11.163189.xyz/stream/live/typd/
CHC动作电影,http://pplee.vicp.net:4022/udp/233.18.204.174:5140
CHC家庭影院,http://pplee.vicp.net:4022/udp/233.18.204.173:5140
CHC影迷电影,http://pplee.vicp.net:4022/udp/233.18.204.175:5140
IPTV经典电影,http://183.30.201.227:10002/rtp/239.77.0.104:5146
IPTV经典电影,http://183.30.201.227:10002/rtp/239.77.1.89:5146
IPTV热播剧场,http://183.30.201.227:10002/rtp/239.77.0.106:5146
IPTV谍战剧场,http://183.30.201.227:10002/rtp/239.77.1.83:5146
IPTV魅力时尚,http://183.30.201.227:10002/rtp/239.77.0.110:5146
IPTV魅力时尚,http://183.30.201.227:10002/rtp/239.77.1.88:5146
IPTV少儿动画,http://183.30.201.227:10002/rtp/239.77.0.109:5146
华数爱电影,http://183.30.201.227:10002/rtp/239.77.1.138:5146
华数爱电影,http://183.30.201.227:10002/rtp/239.77.0.103:5146
华数爱大剧,http://183.30.201.227:10002/rtp/239.77.0.105:5146
华数爱大剧,http://183.30.201.227:10002/rtp/239.77.1.82:5146
求索记录,http://183.30.201.227:10002/rtp/239.77.0.21:5146

體育頻道,#genre#
睛彩竞技,http://183.30.201.227:10002/rtp/239.77.1.20:5146
睛彩广场舞,http://183.30.201.227:10002/rtp/239.77.1.23:5146
睛彩篮球,http://183.30.201.227:10002/rtp/239.77.1.21:5146
睛彩青少,http://183.30.201.227:10002/rtp/239.77.1.22:5146
五星体育,http://pplee.vicp.net:4022/udp/233.18.204.58:5140
武术世界,http://www.frankgb.cn:4022/udp/239.49.0.205:8000

衛視頻道,#genre#
广东卫视,http://183.30.201.227:10002/rtp/239.77.0.84:5146
